item_id,order_id,product_id,quantity,discount_percent
1,1,19,1,25
2,1,113,2,0
3,2,167,2,15
4,2,14,2,25
5,2,111,1,15
6,3,126,1,15
7,3,177,4,5
8,4,128,1,5
9,4,38,3,0
10,4,10,2,15
11,4,42,1,0
12,5,137,2,0
13,5,141,2,5
14,5,5,5,0
15,5,78,2,25
16,6,32,5,5
17,6,138,3,0
18,6,85,2,0
19,6,174,1,25
20,7,133,5,5
21,7,59,1,15
22,7,60,1,5
23,8,151,4,5
24,8,146,5,20
25,9,121,2,20
26,9,116,4,0
27,9,54,1,10
28,9,37,2,20
29,10,121,4,20
30,10,6,5,0
31,10,4,4,25
32,11,190,4,20
33,12,110,3,5
34,12,184,4,15
35,12,189,1,20
36,13,119,5,10
37,13,39,3,5
38,13,197,5,20
39,13,17,2,20
40,14,83,3,0
41,14,58,1,25
42,14,118,3,10
43,14,138,3,25
44,15,32,5,10
45,15,65,3,5
46,16,172,2,5
47,17,67,3,0
48,18,45,3,25
49,18,143,5,10
50,18,85,1,0
51,18,135,5,20
52,19,39,1,15
53,19,25,1,20
54,20,171,4,10
55,21,138,3,5
56,21,21,3,20
57,22,162,5,15
58,22,74,4,25
59,22,3,5,25
60,22,115,2,10
61,23,65,4,15
62,23,128,3,5
63,23,131,5,0
64,24,191,4,15
65,24,138,2,10
66,24,49,2,10
67,24,121,5,0
68,24,184,1,0
69,25,170,1,15
70,25,39,1,20
71,25,134,5,15
72,26,66,3,15
73,26,149,2,0
74,27,108,5,25
75,28,23,3,25
76,28,173,1,15
77,28,74,5,0
78,29,183,5,0
79,29,127,1,25
80,30,70,3,10
81,31,30,5,25
82,31,97,3,20
83,32,47,2,25
84,32,7,4,25
85,33,109,1,20
86,33,4,1,15
87,34,168,3,20
88,34,76,2,10
89,35,42,3,15
90,35,119,1,20
91,35,56,1,15
92,35,183,3,15
93,36,51,5,0
94,37,198,5,15
95,37,91,2,10
96,38,137,5,20
97,39,53,2,25
98,39,70,2,10
99,39,171,5,25
100,40,93,1,5
101,40,49,2,0
102,41,184,4,25
103,41,153,3,10
104,42,51,2,5
105,42,47,3,15
106,43,146,2,10
107,44,92,1,15
108,44,158,4,20
109,45,133,2,25
110,46,128,4,15
111,47,41,1,10
112,47,59,5,15
113,48,31,5,20
114,48,141,3,5
115,48,120,1,25
116,49,97,5,15
117,49,81,4,10
118,49,91,3,25
119,49,56,5,5
120,49,134,3,0
121,50,53,3,15
122,51,111,5,15
123,51,77,3,25
124,52,69,3,0
125,52,107,4,20
126,52,153,5,25
127,52,77,2,10
128,53,56,2,20
129,53,49,4,20
130,54,60,1,25
131,55,142,1,0
132,55,26,5,15
133,55,45,1,25
134,55,49,5,20
135,56,187,2,25
136,56,5,2,0
137,57,178,1,10
138,57,110,3,15
139,58,43,2,20
140,59,110,1,15
141,59,188,1,0
142,60,140,4,0
143,61,149,1,5
144,62,197,4,25
145,63,70,1,25
146,63,106,5,10
147,64,139,1,10
148,64,191,1,20
149,64,80,1,10
150,65,165,4,15
151,65,62,3,0
152,65,61,1,20
153,66,136,3,20
154,66,118,3,0
155,67,100,2,5
156,67,43,5,10
157,67,91,4,5
158,67,59,4,15
159,68,170,1,5
160,68,58,3,5
161,69,187,1,15
162,69,162,5,25
163,69,35,1,0
164,70,143,2,20
165,71,147,1,5
166,71,8,3,0
167,72,6,2,15
168,72,22,5,0
169,73,91,5,0
170,74,68,4,25
171,74,148,4,25
172,74,14,3,15
173,74,36,2,5
174,74,10,5,10
175,75,118,5,25
176,75,182,4,15
177,75,132,5,10
178,76,186,3,5
179,76,67,4,10
180,76,84,5,5
181,76,157,3,10
182,77,104,2,15
183,77,54,2,5
184,78,3,1,5
185,79,187,1,10
186,79,117,1,15
187,80,171,4,5
188,80,61,3,25
189,80,46,3,5
190,81,191,1,0
191,81,33,5,25
192,81,23,5,10
193,82,4,1,0
194,82,23,2,20
195,82,89,2,0
196,82,125,5,0
197,83,138,4,25
198,83,169,3,0
199,83,78,4,10
200,83,107,4,25
201,83,61,4,0
202,84,127,1,25
203,84,67,2,25
204,84,169,4,5
205,84,196,4,25
206,84,95,1,10
207,85,61,3,5
208,85,83,3,25
209,85,68,4,25
210,85,43,2,5
211,86,175,5,25
212,86,77,4,15
213,86,100,1,0
214,86,157,4,10
215,86,199,5,0
216,87,148,1,25
217,87,40,4,0
218,88,156,2,10
219,89,143,1,10
220,90,26,3,0
221,90,140,3,20
222,91,77,1,0
223,91,80,5,20
224,92,103,3,15
225,92,2,5,10
226,93,99,5,10
227,93,70,3,20
228,94,81,4,25
229,95,180,5,15
230,95,119,3,10
231,96,110,1,5
232,96,63,3,0
233,97,12,1,25
234,97,84,2,5
235,98,157,1,10
236,98,7,1,10
237,98,7,4,15
238,99,43,5,25
239,99,70,2,0
240,100,26,2,25
241,100,28,4,5
242,101,199,2,0
243,101,152,3,5
244,101,66,2,5
245,101,7,5,5
246,102,77,1,25
247,103,154,5,25
248,104,93,4,15
249,105,187,5,15
250,105,55,3,0
251,106,172,2,15
252,106,39,2,0
253,106,184,4,5
254,106,81,4,0
255,107,164,2,15
256,108,189,1,20
257,108,114,4,10
258,108,148,4,20
259,109,152,3,5
260,109,191,3,5
261,109,83,5,10
262,110,64,3,10
263,110,163,5,20
264,110,88,1,10
265,111,70,1,10
266,111,64,4,0
267,111,74,2,20
268,111,127,2,10
269,112,61,1,20
270,113,132,3,20
271,113,194,4,25
272,114,9,4,10
273,114,167,1,10
274,114,77,2,10
275,115,192,1,20
276,116,174,4,20
277,117,50,2,15
278,117,85,4,20
279,118,175,1,0
280,118,84,3,0
281,118,136,5,0
282,119,110,2,20
283,119,87,5,10
284,119,86,3,10
285,120,2,3,25
286,120,170,2,20
287,121,100,3,5
288,121,124,1,10
289,121,122,4,25
290,121,129,1,20
291,122,142,3,15
292,122,141,2,10
293,122,14,3,0
294,123,135,2,10
295,123,79,1,5
296,123,118,3,10
297,124,68,4,25
298,125,14,1,10
299,125,46,5,10
300,126,6,2,25
301,126,52,4,20
302,127,63,4,20
303,127,58,3,0
304,127,40,1,0
305,127,8,3,10
306,127,77,5,20
307,128,11,3,15
308,128,7,4,10
309,128,49,3,25
310,129,149,2,0
311,129,159,4,15
312,129,112,2,10
313,130,155,1,15
314,131,97,1,10
315,132,191,3,15
316,132,116,2,25
317,132,148,1,10
318,133,92,3,25
319,133,76,2,15
320,134,48,2,5
321,135,21,5,25
322,135,55,1,25
323,136,40,1,25
324,137,12,5,0
325,137,31,1,5
326,138,139,4,15
327,139,49,5,0
328,139,9,4,25
329,140,128,5,20
330,140,133,1,20
331,140,177,4,20
332,141,199,4,0
333,141,178,4,15
334,141,111,5,25
335,141,130,3,5
336,141,51,1,15
337,142,83,1,20
338,142,139,2,5
339,142,137,1,25
340,142,47,4,5
341,142,76,5,25
342,143,12,1,10
343,143,14,3,10
344,144,52,5,5
345,145,72,4,20
346,145,133,5,20
347,145,68,4,25
348,145,63,5,10
349,146,64,5,10
350,146,55,4,5
351,147,95,5,0
352,147,24,3,5
353,148,171,3,20
354,148,73,5,15
355,148,40,1,0
356,149,53,2,5
