order_id,customer_id,order_date,status,payment_method,shipping_cost
1,3227,2022-05-26,Completed,Debit Card,5.99
2,2757,2022-05-04,Completed,Credit Card,0.0
3,4721,2022-08-09,Cancelled,Credit Card,5.99
4,4068,2023-06-30,Completed,Debit Card,0.0
5,1453,2023-11-10,Cancelled,Credit Card,9.99
6,4005,2022-12-17,Completed,Debit Card,5.99
7,3275,2021-10-07,Completed,Cash,9.99
8,3779,2022-06-28,Completed,Credit Card,14.99
9,3504,2023-11-08,Completed,Debit Card,5.99
10,4258,2022-08-10,Completed,Credit Card,5.99
11,4034,2022-08-13,Completed,Credit Card,5.99
12,3902,2023-07-22,Completed,Credit Card,0.0
13,3999,2021-01-13,Completed,Credit Card,14.99
14,3000,2022-08-11,Completed,Credit Card,5.99
15,4653,2021-08-31,Completed,Credit Card,0.0
16,1718,2022-09-30,Completed,PayPal,9.99
17,2957,2023-02-01,Completed,Debit Card,0.0
18,4580,2021-03-14,Completed,Cash,0.0
19,3483,2022-11-05,Completed,Debit Card,5.99
20,590,2023-03-01,Cancelled,Credit Card,5.99
21,1710,2022-03-11,Completed,Credit Card,5.99
22,2529,2022-02-06,Completed,Credit Card,5.99
23,732,2023-09-15,Returned,Credit Card,0.0
24,3978,2021-03-24,Completed,Debit Card,5.99
25,2105,2023-05-26,Pending,Debit Card,5.99
26,4880,2022-11-17,Completed,Credit Card,14.99
27,598,2021-08-05,Completed,Credit Card,0.0
28,4791,2021-05-15,Completed,Credit Card,0.0
29,2835,2023-12-07,Completed,Credit Card,14.99
30,1803,2021-08-02,Completed,Credit Card,14.99
31,4550,2023-03-18,Completed,PayPal,9.99
32,193,2021-09-05,Completed,Credit Card,0.0
33,4487,2022-02-10,Completed,Debit Card,5.99
34,4460,2024-01-01,Completed,Credit Card,5.99
35,2440,2023-06-22,Completed,Credit Card,9.99
36,1468,2023-01-16,Completed,PayPal,0.0
37,3542,2022-12-15,Completed,Debit Card,0.0
38,4026,2022-10-30,Returned,Credit Card,5.99
39,1068,2022-07-27,Completed,PayPal,0.0
40,1573,2021-12-01,Pending,Credit Card,5.99
41,1643,2021-12-31,Completed,Credit Card,9.99
42,4980,2023-12-11,Completed,PayPal,9.99
43,4972,2021-07-31,Completed,Debit Card,5.99
44,107,2022-01-27,Completed,Credit Card,9.99
45,4015,2022-05-20,Completed,Credit Card,0.0
46,3327,2021-11-07,Completed,PayPal,0.0
47,942,2022-08-15,Completed,Credit Card,5.99
48,2977,2021-06-06,Completed,Credit Card,0.0
49,226,2023-08-01,Completed,Debit Card,0.0
50,272,2023-08-05,Completed,Cash,5.99
51,770,2021-06-28,Completed,Credit Card,14.99
52,615,2021-06-15,Completed,PayPal,14.99
53,672,2023-12-01,Completed,Debit Card,5.99
54,1835,2021-01-12,Completed,Credit Card,0.0
55,4996,2021-08-10,Completed,Debit Card,0.0
56,871,2023-02-12,Completed,Cash,5.99
57,2739,2023-06-24,Completed,Credit Card,0.0
58,2523,2023-08-02,Completed,Credit Card,0.0
59,4307,2022-08-27,Completed,Cash,5.99
60,2,2022-02-01,Completed,Debit Card,5.99
61,2522,2023-02-16,Pending,Credit Card,0.0
62,2319,2021-04-16,Pending,Debit Card,9.99
63,1503,2022-06-25,Completed,Debit Card,9.99
64,1629,2024-01-23,Completed,PayPal,5.99
65,3381,2021-01-06,Completed,Cash,0.0
66,2058,2023-12-01,Completed,Credit Card,14.99
67,4092,2022-11-11,Completed,Credit Card,5.99
68,1281,2021-11-14,Completed,Debit Card,0.0
69,612,2023-06-18,Pending,Credit Card,5.99
70,2143,2021-07-23,Completed,Debit Card,5.99
71,4793,2022-06-13,Completed,Credit Card,5.99
72,4946,2022-04-03,Completed,Credit Card,5.99
73,105,2023-05-02,Completed,Credit Card,5.99
74,713,2022-07-10,Completed,Debit Card,9.99
75,21,2023-08-22,Returned,PayPal,5.99
76,4298,2022-06-02,Completed,Credit Card,0.0
77,3226,2022-02-25,Completed,Credit Card,0.0
78,797,2022-09-19,Completed,Credit Card,5.99
79,3150,2023-09-10,Completed,PayPal,5.99
80,2049,2023-03-11,Completed,Credit Card,0.0
81,3771,2023-11-25,Completed,Debit Card,5.99
82,4962,2023-12-29,Completed,Debit Card,0.0
83,152,2022-03-11,Completed,Credit Card,9.99
84,2555,2023-11-02,Completed,PayPal,9.99
85,4939,2023-05-06,Completed,Credit Card,0.0
86,4676,2021-06-16,Completed,Debit Card,5.99
87,734,2023-03-12,Completed,Credit Card,14.99
88,2807,2021-07-05,Completed,Credit Card,0.0
89,3943,2023-12-15,Completed,Debit Card,14.99
90,1837,2023-09-12,Completed,Credit Card,5.99
91,4345,2023-07-30,Completed,Debit Card,5.99
92,220,2023-02-24,Completed,Debit Card,0.0
93,3125,2022-09-21,Completed,Debit Card,9.99
94,3721,2022-10-10,Completed,Credit Card,5.99
95,4689,2023-12-09,Completed,Debit Card,9.99
96,3121,2021-04-25,Completed,Debit Card,9.99
97,3783,2024-01-11,Completed,Credit Card,5.99
98,1894,2022-08-23,Completed,Debit Card,0.0
99,3172,2022-01-23,Completed,Cash,0.0
100,3704,2021-06-16,Completed,Credit Card,0.0
101,1487,2023-04-29,Completed,Cash,9.99
102,300,2022-10-14,Completed,Credit Card,0.0
103,4785,2021-11-29,Completed,Credit Card,5.99
104,3231,2021-05-18,Completed,Credit Card,5.99
105,969,2023-07-05,Completed,Debit Card,9.99
106,370,2021-03-16,Completed,Credit Card,5.99
107,1485,2021-02-26,Completed,PayPal,14.99
108,1587,2022-10-20,Completed,PayPal,9.99
109,3753,2022-02-01,Completed,Debit Card,9.99
110,1485,2021-05-13,Returned,Credit Card,0.0
111,3542,2021-10-02,Returned,Cash,0.0
112,2504,2023-05-10,Cancelled,PayPal,0.0
113,1833,2021-02-10,Completed,Credit Card,5.99
114,1421,2023-01-29,Completed,Debit Card,9.99
115,469,2022-10-15,Completed,Debit Card,0.0
116,2981,2023-10-01,Completed,Debit Card,0.0
117,4170,2022-09-05,Completed,Credit Card,5.99
118,3170,2021-05-08,Completed,Credit Card,0.0
119,4650,2021-10-14,Completed,Credit Card,5.99
120,4636,2023-12-25,Completed,Credit Card,0.0
121,3595,2022-09-11,Completed,Debit Card,5.99
122,1297,2022-11-20,Pending,Cash,5.99
123,2187,2023-01-23,Completed,Cash,5.99
124,2975,2024-01-07,Completed,Debit Card,0.0
125,3842,2023-06-24,Pending,Debit Card,0.0
126,849,2023-05-18,Completed,Credit Card,9.99
127,2983,2022-10-20,Completed,Debit Card,9.99
128,2965,2023-02-06,Completed,Credit Card,5.99
129,3637,2021-07-12,Completed,Credit Card,5.99
130,1602,2021-12-16,Cancelled,Debit Card,0.0
131,1286,2023-05-02,Completed,Credit Card,9.99
132,4006,2023-11-23,Completed,Credit Card,9.99
133,3825,2021-07-05,Completed,PayPal,5.99
134,59,2022-04-11,Completed,Credit Card,14.99
135,972,2021-03-13,Returned,Credit Card,0.0
136,948,2023-10-13,Completed,Credit Card,5.99
137,2750,2023-11-28,Completed,Credit Card,14.99
138,2526,2022-05-11,Completed,Credit Card,5.99
139,786,2023-07-13,Completed,PayPal,0.0
140,3822,2022-03-06,Pending,Credit Card,9.99
141,4089,2021-08-12,Completed,PayPal,0.0
142,1685,2023-12-02,Completed,Credit Card,9.99
143,1499,2022-05-11,Completed,Credit Card,0.0
144,3390,2022-12-15,Completed,Debit Card,5.99
145,38,2022-09-21,Completed,Debit Card,5.99
146,4803,2021-08-12,Cancelled,Debit Card,0.0
147,3474,2021-12-17,Completed,Cash,9.99
148,4162,2022-04-29,Cancelled,Credit Card,9.99
149,2788,2022-06-20,Completed,Credit Card,5.99
150,3329,2022-11-03,Completed,PayPal,0.0
151,4165,2021-12-20,Completed,Credit Card,9.99
152,4521,2022-02-18,Completed,Credit Card,9.99
153,4392,2021-12-28,Pending,Credit Card,9.99
154,4509,2023-01-28,Completed,Debit Card,5.99
155,3442,2023-11-24,Completed,Credit Card,0.0
156,515,2021-04-25,Completed,Credit Card,9.99
157,287,2022-01-06,Completed,Credit Card,9.99
158,4291,2022-08-15,Completed,Debit Card,5.99
159,2811,2022-12-13,Completed,Credit Card,5.99
160,4956,2022-10-16,Completed,Credit Card,5.99
161,3886,2023-10-21,Completed,,9.99
162,1643,2021-06-08,Completed,Cash,9.99
163,2841,2021-07-28,Completed,Debit Card,9.99
164,4104,2023-02-24,Completed,PayPal,5.99
165,3101,2022-01-02,Completed,Credit Card,5.99
166,3923,2023-08-11,Returned,Credit Card,9.99
167,4843,2022-07-07,Completed,Credit Card,0.0
168,2404,2022-03-02,Completed,PayPal,5.99
169,1742,2022-11-13,Completed,Credit Card,5.99
170,1594,2021-07-30,Completed,PayPal,14.99
171,3365,2022-08-03,Completed,Cash,0.0
172,2244,2021-09-15,Completed,Credit Card,0.0
