product_id,product_name,category,price,cost,stock_quantity
1,Plant Pot - Model 331,Home & Garden,187.32,78.21,64.0
2,Lipstick - Model 480,Beauty,110.14,75.53,114.0
3,Yoga Mat - Model 832,Sports,187.42,117.64,236.0
4,Fiction Novel - Model 332,Books,222.41,111.32,221.0
5,Board Game - Model 378,Toys,197.72,106.67,381.0
6,Snack Box - Model 450,Food & Beverage,45.43,27.82,102.0
7,Chocolate - Model 125,Food & Beverage,182.13,76.23,408.0
8,Board Game - Model 885,Toys,125.84,65.75,476.0
9,Dumbbells - Model 544,Sports,49.44,23.2,132.0
10,Vacuum - Model 463,Home & Garden,164.51,100.21,81.0
11,Tennis Racket - Model 905,Sports,50.55,32.85,416.0
12,Tennis Racket - Model 290,Sports,205.51,102.98,296.0
13,Yoga Mat - Model 929,Sports,20.25,9.49,241.0
14,Laptop - Model 698,Electronics,837.67,413.52,335.0
15,Running Shoes - Model 134,Sports,281.33,129.78,228.0
16,Tablet - Model 338,Electronics,336.39,224.06,100.0
17,Sweater - Model 930,Clothing,130.95,72.6,273.0
18,Self-Help Book - Model 884,Books,125.6,86.72,65.0
19,Doll - Model 740,Toys,268.35,181.56,137.0
20,Tea Set - Model 706,Food & Beverage,137.57,76.64,363.0
21,Action Figure - Model 531,Toys,148.48,84.84,197.0
22,Camera - Model 402,Electronics,960.36,490.61,361.0
23,Puzzle - Model 951,Toys,97.71,59.34,49.0
24,Doll - Model 652,Toys,203.05,129.44,237.0
25,Plant Pot - Model 430,Home & Garden,93.92,43.38,74.0
26,Tea Set - Model 716,Food & Beverage,197.83,104.57,271.0
27,LEGO Set - Model 843,Toys,69.21,47.65,269.0
28,Basketball - Model 717,Sports,21.02,11.29,466.0
29,Chocolate - Model 793,Food & Beverage,260.13,120.54,355.0
30,Action Figure - Model 196,Toys,79.03,45.69,191.0
31,Lipstick - Model 898,Beauty,241.38,102.4,350.0
32,Smartphone - Model 505,Electronics,530.85,281.76,448.0
33,Moisturizer - Model 568,Beauty,126.95,59.28,152.0
34,Spice Kit - Model 991,Food & Beverage,146.6,71.74,290.0
35,Shampoo - Model 697,Beauty,51.27,26.02,315.0
36,Sweater - Model 640,Clothing,15.18,7.6,158.0
37,Plant Pot - Model 256,Home & Garden,120.53,51.94,180.0
38,Shampoo - Model 552,Beauty,273.19,133.45,293.0
39,Shampoo - Model 363,Beauty,183.01,106.97,469.0
40,Fiction Novel - Model 676,Books,68.31,34.45,403.0
41,Biography - Model 897,Books,115.07,68.9,188.0
42,Yoga Mat - Model 625,Sports,146.28,80.04,16.0
43,Smartphone - Model 193,Electronics,1120.58,453.51,74.0
44,Tea Set - Model 485,Food & Beverage,120.25,56.09,380.0
45,Coffee Maker - Model 772,Home & Garden,223.39,142.62,104.0
46,Vacuum - Model 309,Home & Garden,284.65,138.2,258.0
47,Snack Box - Model 712,Food & Beverage,173.64,120.49,218.0
48,Moisturizer - Model 694,Beauty,241.12,105.41,308.0
49,Tablet - Model 541,Electronics,845.64,438.8,496.0
50,Camera - Model 979,Electronics,691.43,431.29,
51,Self-Help Book - Model 558,Books,277.95,175.68,285.0
52,Tennis Racket - Model 728,Sports,159.09,80.96,480.0
53,Fiction Novel - Model 541,Books,150.46,96.07,402.0
54,Smart Watch - Model 199,Electronics,336.85,227.55,149.0
55,LEGO Set - Model 392,Toys,41.16,20.79,251.0
56,Running Shoes - Model 688,Sports,131.36,85.47,130.0
57,Tea Set - Model 339,Food & Beverage,209.71,117.83,393.0
58,Camera - Model 828,Electronics,1167.94,581.25,256.0
59,Camera - Model 547,Electronics,531.04,267.34,44.0
60,Tennis Racket - Model 410,Sports,167.27,104.05,226.0
61,Sneakers - Model 871,Clothing,112.8,63.39,121.0
62,Snack Box - Model 370,Food & Beverage,81.2,41.12,310.0
63,Face Mask - Model 319,Beauty,102.48,56.47,202.0
64,Rug - Model 253,Home & Garden,103.78,48.98,261.0
65,Lipstick - Model 722,Beauty,124.05,85.06,84.0
66,Cookbook - Model 995,Books,96.47,45.31,128.0
67,Face Mask - Model 214,Beauty,105.69,48.19,52.0
68,Doll - Model 340,Toys,19.34,10.66,32.0
69,Smart Watch - Model 314,Electronics,841.56,419.97,158.0
70,Face Mask - Model 537,Beauty,94.31,37.74,153.0
71,Smartphone - Model 365,Electronics,741.56,394.8,235.0
72,Face Mask - Model 859,Beauty,45.53,30.25,218.0
73,Jeans - Model 931,Clothing,47.82,23.98,386.0
74,Basketball - Model 514,Sports,246.68,150.38,179.0
75,Face Mask - Model 818,Beauty,216.18,91.02,288.0
76,Laptop - Model 409,Electronics,1192.35,520.8,266.0
77,Dumbbells - Model 234,Sports,72.84,47.6,212.0
78,Moisturizer - Model 328,Beauty,39.12,21.7,161.0
79,Laptop - Model 446,Electronics,292.66,186.02,246.0
80,Basketball - Model 996,Sports,13.35,8.88,35.0
81,Coffee Maker - Model 976,Home & Garden,245.09,132.28,493.0
82,Dress - Model 494,Clothing,118.4,73.92,334.0
83,Sneakers - Model 681,Clothing,69.61,43.94,59.0
