review_id,order_id,product_id,rating,review_text,review_date
1,7260,50,5,Best purchase ever!,2023-05-08
2,2124,78,5,Best purchase ever!,2023-04-09
3,4417,57,4,Good quality,2022-11-02
4,6589,53,4,Good quality,2021-04-22
5,9801,130,5,Best purchase ever!,2022-10-17
6,9463,158,4,Satisfied with purchase,2023-08-03
7,6779,193,4,Nice product,2022-11-11
8,6746,10,2,Could be better,2022-05-27
9,13095,155,2,Below expectations,2023-08-26
10,13653,140,5,Best purchase ever!,2022-03-31
11,2838,131,5,Highly recommend!,2023-01-04
12,6643,156,1,Terrible,2022-12-04
13,6028,38,4,Works well,2023-03-20
14,7157,192,1,Waste of money,2021-02-12
15,8061,22,5,Love it!,2023-08-04
16,2252,164,2,Below expectations,2022-05-24
17,13135,96,4,Satisfied with purchase,2023-11-24
18,1777,116,4,Good quality,2021-01-14
19,3454,22,4,Satisfied with purchase,2022-04-13
20,13612,9,3,Average product,2023-09-13
21,1978,63,4,Works well,2021-10-02
22,12272,181,4,Good quality,2021-02-10
23,4433,133,3,,2021-03-10
24,5789,140,5,Excellent product!,2022-07-17
25,8938,119,4,Satisfied with purchase,2022-10-09
26,5045,108,5,Excellent product!,2023-03-21
27,13982,14,4,Works well,2021-10-05
28,5355,18,3,Average product,2023-09-16
29,10023,108,1,Poor quality,2023-11-04
30,9182,64,4,Good quality,2021-03-17
31,2367,159,5,Best purchase ever!,2021-03-28
32,3842,122,2,Below expectations,2022-01-11
33,4249,157,5,,2022-05-13
34,14355,173,4,Satisfied with purchase,2021-05-04
35,114,167,3,Not bad,2022-10-29
36,4649,68,5,Best purchase ever!,2022-05-19
37,14155,47,5,Excellent product!,2023-07-02
38,10753,175,1,Terrible,2022-07-14
39,10336,180,5,Highly recommend!,2023-03-19
40,5458,173,3,Not bad,2021-02-13
41,1851,146,5,Love it!,2021-01-16
42,11127,120,3,Decent,2021-08-13
43,14460,150,4,Good quality,2021-09-20
44,9242,59,3,Average product,2023-05-16
45,1796,33,5,Love it!,2023-05-19
46,1644,167,5,Love it!,2021-12-31
47,1879,188,5,Highly recommend!,2023-04-05
48,13043,58,5,Highly recommend!,2022-01-28
49,1074,70,2,Could be better,2023-12-17
50,12501,126,4,Nice product,2023-04-09
51,6132,168,5,Love it!,2021-08-22
52,2721,70,4,Satisfied with purchase,2023-10-12
53,6014,123,5,Highly recommend!,2021-10-16
54,2280,53,1,Poor quality,2022-09-04
55,8159,13,5,Excellent product!,2022-02-22
56,5019,167,2,Below expectations,2023-03-06
57,8914,17,2,Disappointed,2021-07-20
58,8573,159,4,Good quality,2022-03-06
59,6487,32,5,Love it!,2023-09-13
60,7826,127,2,,2023-02-03
61,13333,167,5,Love it!,2021-07-23
62,14174,85,3,Average product,2022-05-14
63,1367,41,1,Poor quality,2021-12-27
64,9853,199,4,,2023-12-22
65,3704,45,5,Best purchase ever!,2023-03-31
66,12416,150,5,Love it!,2023-06-22
67,3854,144,3,Average product,2022-07-10
68,3788,139,5,Best purchase ever!,2023-03-21
69,141,199,2,Below expectations,2023-10-22
70,7042,149,5,Best purchase ever!,2022-04-03
71,2590,26,1,Terrible,2021-06-06
72,12737,142,4,Good quality,2021-02-03
73,3394,106,5,Excellent product!,2023-10-17
74,11382,98,2,Not great,2023-12-03
75,10435,58,4,Works well,2022-09-15
76,5834,5,5,Excellent product!,2021-01-12
77,10894,64,3,Decent,2022-07-25
78,8993,192,5,Best purchase ever!,2021-06-07
79,9737,127,3,Not bad,2021-07-26
80,6065,73,4,Good quality,2021-04-28
81,9419,160,5,Love it!,2021-06-21
82,13506,32,5,Highly recommend!,2023-11-08
83,12590,42,3,Decent,2021-12-03
84,1519,135,3,Not bad,2021-10-07
85,2701,89,4,Good quality,2022-07-07
86,14907,114,4,Good quality,2023-01-07
87,8315,175,2,Not great,2022-09-20
88,11985,52,4,Works well,2022-08-26
89,14758,90,4,Good quality,2023-11-16
90,8502,89,2,Disappointed,2022-01-05
91,12135,89,5,Love it!,2022-01-14
92,4849,168,4,Good quality,2022-10-29
93,11830,163,4,Good quality,2023-09-29
94,8086,78,4,Nice product,2021-12-14
95,10208,191,4,Satisfied with purchase,2023-10-15
96,14558,122,3,Average product,2021-01-05
97,4711,90,4,Works well,2022-06-08
98,549,111,5,Excellent product!,2022-05-21
99,12881,33,4,Nice product,2023-01-04
100,14781,144,4,Works well,2022-10-03
101,14923,189,5,Excellent product!,2021-10-28
102,10280,162,4,Satisfied with purchase,2023-02-10
103,5973,177,3,It's okay,2023-01-20
104,9467,72,4,,2022-10-03
105,2268,141,5,Highly recommend!,2023-11-10
106,6448,82,5,Highly recommend!,2023-02-12
107,7770,192,4,Nice product,2023-04-04
108,3671,98,4,Good quality,2022-01-09
109,4940,120,5,Highly recommend!,2022-04-28
110,972,105,4,,2021-08-13
111,8966,13,5,Highly recommend!,2022-08-02
112,2710,97,4,,2022-08-22
113,5850,69,5,Highly recommend!,2021-11-08
114,6372,162,2,Could be better,2022-06-29
115,10581,148,3,Average product,2021-04-10
116,9943,16,3,Average product,2022-12-29
117,13582,155,5,Excellent product!,2021-11-22
118,10793,196,5,Excellent product!,2022-02-11
119,3291,39,5,Excellent product!,2021-09-03
120,10794,42,5,Highly recommend!,2022-06-21
121,12727,118,5,Love it!,2022-03-20
122,13130,18,3,Not bad,2021-01-26
123,14277,190,3,Decent,2021-01-24
124,14845,171,1,Terrible,2022-03-22
125,6258,178,3,,2021-12-25
126,1142,41,5,Highly recommend!,2022-06-28
127,8583,159,5,Highly recommend!,2021-02-28
128,1273,69,4,Satisfied with purchase,2022-09-27
129,4820,95,3,It's okay,2023-03-20
130,6538,80,1,Waste of money,2021-08-23
131,13480,107,3,Not bad,2021-06-14
132,8541,56,2,Below expectations,2021-07-28
133,2179,63,5,Excellent product!,2022-06-15
134,11778,48,2,Disappointed,2021-10-31
135,8284,133,5,Love it!,2021-04-13
136,10436,31,4,Nice product,2023-11-13
137,13607,99,4,Nice product,2021-09-24
138,12257,18,4,Satisfied with purchase,2022-02-25
139,7135,108,2,Could be better,2021-04-09
140,6671,178,5,Highly recommend!,2021-07-25
141,5206,7,5,Excellent product!,2021-09-12
142,4689,14,3,Not bad,2022-11-25
143,3487,65,2,Disappointed,2022-03-24
144,8361,56,2,Below expectations,2022-05-03
145,8368,9,5,Excellent product!,2022-02-27
146,4216,138,4,Nice product,2022-06-16
147,5054,145,4,Nice product,2022-01-03
148,7792,67,3,Decent,2023-09-15
149,4816,72,4,Satisfied with purchase,2023-12-02
150,7589,12,3,Not bad,2023-12-14
151,4868,186,1,Poor quality,2022-05-01
152,6521,9,4,Satisfied with purchase,2021-11-01
153,5047,89,5,Highly recommend!,2022-06-22
154,4433,17,5,Highly recommend!,2023-10-11
155,6457,103,5,Highly recommend!,2023-10-11
156,9332,94,4,Nice product,2023-10-22
157,1227,193,1,Do not buy,2022-05-20
158,1893,161,4,Good quality,2021-12-01
159,13903,147,1,Do not buy,2021-10-24
160,4094,55,5,Love it!,2021-05-03
161,2987,57,4,Satisfied with purchase,2023-09-14
162,9406,105,1,Do not buy,2022-11-30
163,1714,187,5,Highly recommend!,2023-04-18
164,8611,158,4,Good quality,2023-10-29
165,6871,168,2,Could be better,2023-05-06
166,11142,89,5,Excellent product!,2023-03-09
167,5043,163,3,Not bad,2021-04-24
168,11280,132,3,It's okay,2021-08-01
169,2244,147,2,Disappointed,2022-03-23
170,4506,159,5,Excellent product!,2022-01-12
171,1668,153,3,It's okay,2021-03-16
172,10329,47,5,Highly recommend!,2022-10-20
173,5690,113,4,Works well,2021-04-15
174,1300,157,4,Nice product,2023-03-20
175,1813,28,5,,2021-09-26
176,10733,65,3,Not bad,2022-05-30
177,1968,91,5,Highly recommend!,2022-03-21
178,6109,192,3,,2021-04-09
